driverId,constructorId,number,grid,position,positionText,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,FastestLapSpeed,statusId
maldonado,williams,16,17,21,R,0,24,,,12.0,21.0,1:32.915,205.465,Spun off
hulkenberg,sauber,11,11,22,W,0,0,,,,,,,Fuel system
vettel,red_bull,1,1,1,1,25,56,1:38:56.681,5936681.0,45.0,3.0,1:40.446,198.661,Finished
webber,red_bull,2,5,2,2,18,56,+4.298,5940979.0,45.0,6.0,1:40.685,198.190,Finished
hamilton,mercedes,10,4,3,3,15,56,+12.181,5948862.0,32.0,10.0,1:41.001,197.570,Finished
rosberg,mercedes,9,6,4,4,12,56,+12.640,5949321.0,44.0,8.0,1:40.755,198.052,Finished
massa,ferrari,4,2,5,5,10,56,+25.648,5962329.0,50.0,2.0,1:39.805,199.937,Finished
grosjean,lotus_f1,8,11,6,6,8,56,+35.564,5972245.0,37.0,11.0,1:41.226,197.131,Finished
raikkonen,lotus_f1,7,10,7,7,6,56,+48.479,5985160.0,37.0,13.0,1:41.769,196.079,Finished
hulkenberg,sauber,11,12,8,8,4,56,+53.044,5989725.0,46.0,7.0,1:40.727,198.107,Finished
perez,mclaren,6,9,9,9,2,56,+1:12.357,6009038.0,56.0,1.0,1:39.199,201.159,Finished
vergne,toro_rosso,18,17,10,10,1,56,+1:27.124,6023805.0,45.0,4.0,1:40.492,198.571,Finished
bottas,williams,17,18,11,11,0,56,+1:28.610,6025291.0,54.0,12.0,1:41.373,196.845,Finished
gutierrez,sauber,12,14,12,12,0,55,,,54.0,9.0,1:40.929,197.711,+1 Lap
jules_bianchi,marussia,22,19,13,13,0,55,,,47.0,14.0,1:42.423,194.827,+1 Lap
pic,caterham,20,20,14,14,0,55,,,51.0,17.0,1:42.942,193.845,+1 Lap
garde,caterham,21,22,15,15,0,55,,,44.0,20.0,1:43.157,193.441,+1 Lap
chilton,marussia,23,21,16,16,0,54,,,44.0,19.0,1:43.150,193.454,+2 Laps
button,mclaren,5,7,17,17,0,53,,,43.0,5.0,1:40.556,198.444,Withdrew
ricciardo,toro_rosso,19,13,18,18,0,51,,,35.0,15.0,1:42.581,194.527,Retired
maldonado,williams,16,16,19,R,0,45,,,34.0,21.0,1:43.465,192.865,Retired
sutil,force_india,15,8,20,R,0,27,,,24.0,16.0,1:42.791,194.129,Wheel nut
resta,force_india,14,15,21,R,0,22,,,19.0,18.0,1:43.094,193.559,Wheel nut
alonso,ferrari,3,3,22,R,0,1,,,,,,,Collision
alonso,ferrari,3,3,1,1,25,56,1:36:26.945,5786945.0,46.0,4.0,1:39.506,197.210,Finished
raikkonen,lotus_f1,7,2,2,2,18,56,+10.168,5797113.0,51.0,5.0,1:39.955,196.324,Finished
hamilton,mercedes,10,1,3,3,15,56,+12.322,5799267.0,50.0,6.0,1:39.981,196.273,Finished
vettel,red_bull,1,9,4,4,12,56,+12.525,5799470.0,53.0,1.0,1:36.808,202.706,Finished
button,mclaren,5,8,5,5,10,56,+35.285,5822230.0,56.0,2.0,1:38.058,200.122,Finished
massa,ferrari,4,5,6,6,8,56,+40.827,5827772.0,55.0,10.0,1:40.284,195.680,Finished
ricciardo,toro_rosso,19,7,7,7,6,56,+42.691,5829636.0,55.0,9.0,1:40.240,195.766,Finished
resta,force_india,14,11,8,8,4,56,+51.084,5838029.0,55.0,7.0,1:40.101,196.038,Finished
grosjean,lotus_f1,8,6,9,9,2,56,+53.423,5840368.0,55.0,11.0,1:40.563,195.137,Finished
hulkenberg,sauber,11,10,10,10,1,56,+56.598,5843543.0,31.0,12.0,1:40.630,195.007,Finished
perez,mclaren,6,12,11,11,0,56,+1:03.860,5850805.0,55.0,14.0,1:41.281,193.754,Finished
vergne,toro_rosso,18,15,12,12,0,56,+1:12.604,5859549.0,56.0,8.0,1:40.138,195.965,Finished
bottas,williams,17,16,13,13,0,56,+1:33.861,5880806.0,53.0,3.0,1:38.200,199.832,Finished
maldonado,williams,16,14,14,14,0,56,+1:35.453,5882398.0,54.0,13.0,1:40.968,194.354,Finished
jules_bianchi,marussia,22,18,15,15,0,55,,,35.0,15.0,1:41.537,193.265,+1 Lap
pic,caterham,20,20,16,16,0,55,,,48.0,17.0,1:41.997,192.393,+1 Lap
chilton,marussia,23,19,17,17,0,55,,,39.0,16.0,1:41.978,192.429,+1 Lap
garde,caterham,21,21,18,18,0,55,,,42.0,18.0,1:42.357,191.717,+1 Lap
rosberg,mercedes,9,4,19,R,0,21,,,7.0,19.0,1:43.378,189.823,Suspension
webber,red_bull,2,22,20,R,0,15,,,12.0,20.0,1:43.416,189.754,Wheel
sutil,force_india,15,13,21,R,0,5,,,3.0,21.0,1:44.257,188.223,Collision
gutierrez,sauber,12,17,22,R,0,4,,,2.0,22.0,1:44.775,187.292,Collision
vettel,red_bull,1,2,1,1,25,57,1:36:00.498,5760498.0,55.0,1.0,1:36.961,200.938,Finished
raikkonen,lotus_f1,7,8,2,2,18,57,+9.111,5769609.0,57.0,8.0,1:38.164,198.476,Finished
grosjean,lotus_f1,8,11,3,3,15,57,+19.507,5780005.0,52.0,5.0,1:37.627,199.567,Finished
resta,force_india,14,5,4,4,12,57,+21.727,5782225.0,57.0,12.0,1:38.336,198.128,Finished
hamilton,mercedes,10,9,5,5,10,57,+35.230,5795728.0,48.0,11.0,1:38.204,198.395,Finished
perez,mclaren,6,12,6,6,8,57,+35.998,5796496.0,41.0,7.0,1:37.913,198.984,Finished
webber,red_bull,2,7,7,7,6,57,+37.244,5797742.0,52.0,13.0,1:38.557,197.684,Finished
alonso,ferrari,3,3,8,8,4,57,+37.574,5798072.0,41.0,3.0,1:37.204,200.436,Finished
