driverId,constructorId,number,grid,position,positionText,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,FastestLapSpeed,statusId
michael_schumacher,mercedes,7,4,6,6,8,53,+31.259,4812480.0,51.0,3.0,1:27.718,237.748,Finished
rosberg,mercedes,8,6,7,7,6,53,+33.550,4814771.0,53.0,1.0,1:27.239,239.053,Finished
resta,force_india,11,9,8,8,4,53,+41.057,4822278.0,51.0,16.0,1:29.068,234.144,Finished
kobayashi,sauber,14,8,9,9,2,53,+43.898,4825119.0,39.0,14.0,1:29.032,234.239,Finished
bruno_senna,williams,19,13,10,10,1,53,+48.144,4829365.0,52.0,10.0,1:28.742,235.004,Finished
maldonado,williams,18,22,11,11,0,53,+48.682,4829903.0,51.0,4.0,1:28.053,236.843,Finished
ricciardo,toro_rosso,16,14,12,12,0,53,+50.316,4831537.0,46.0,7.0,1:28.621,235.325,Finished
ambrosio,lotus_f1,10,15,13,13,0,53,+1:15.861,4857082.0,52.0,8.0,1:28.677,235.177,Finished
kovalainen,caterham,20,17,14,14,0,52,,,46.0,19.0,1:29.399,233.277,+1 Lap
petrov,caterham,21,18,15,15,0,52,,,46.0,15.0,1:29.066,234.149,+1 Lap
pic,marussia,25,20,16,16,0,52,,,44.0,20.0,1:29.753,232.357,+1 Lap
glock,marussia,24,19,17,17,0,52,,,50.0,21.0,1:29.888,232.008,+1 Lap
rosa,hrt,22,23,18,18,0,52,,,51.0,22.0,1:30.398,230.699,+1 Lap
karthikeyan,hrt,23,21,19,19,0,52,,,44.0,23.0,1:31.086,228.957,+1 Lap
webber,red_bull,2,11,20,20,0,51,,,43.0,18.0,1:29.202,233.792,Vibrations
hulkenberg,force_india,12,24,21,21,0,50,,,46.0,6.0,1:28.578,235.439,Brakes
vettel,red_bull,1,5,22,22,0,47,,,46.0,9.0,1:28.713,235.081,Alternator
button,mclaren,3,2,23,R,0,32,,,31.0,13.0,1:28.926,234.518,Fuel pressure
vergne,toro_rosso,17,16,24,R,0,8,,,6.0,24.0,1:31.962,226.776,Suspension
vettel,red_bull,1,3,1,1,25,59,2:00:26.144,7226144.0,50.0,3.0,1:52.134,162.865,Finished
button,mclaren,3,4,2,2,18,59,+8.959,7235103.0,47.0,4.0,1:52.625,162.155,Finished
alonso,ferrari,5,5,3,3,15,59,+15.227,7241371.0,53.0,5.0,1:52.709,162.034,Finished
resta,force_india,11,6,4,4,12,59,+19.063,7245207.0,54.0,7.0,1:52.931,161.716,Finished
rosberg,mercedes,8,10,5,5,10,59,+34.784,7260928.0,55.0,12.0,1:53.897,160.344,Finished
raikkonen,lotus_f1,9,12,6,6,8,59,+35.759,7261903.0,53.0,11.0,1:53.785,160.502,Finished
grosjean,lotus_f1,10,8,7,7,6,59,+36.698,7262842.0,56.0,14.0,1:54.123,160.027,Finished
massa,ferrari,6,13,8,8,4,59,+42.829,7268973.0,47.0,13.0,1:53.997,160.204,Finished
ricciardo,toro_rosso,16,15,9,9,2,59,+45.820,7271964.0,53.0,15.0,1:54.267,159.825,Finished
perez,sauber,15,14,10,10,1,59,+50.619,7276763.0,51.0,6.0,1:52.778,161.935,Finished
webber,red_bull,2,7,11,11,0,59,+87.175,7313319.0,53.0,10.0,1:53.726,160.585,Finished
glock,marussia,24,20,12,12,0,59,+91.918,7318062.0,30.0,21.0,1:56.057,157.360,Finished
kobayashi,sauber,14,17,13,13,0,59,+97.141,7323285.0,52.0,2.0,1:51.690,163.513,Finished
hulkenberg,force_india,12,11,14,14,0,59,+99.413,7325557.0,52.0,1.0,1:51.033,164.480,Finished
kovalainen,caterham,20,19,15,15,0,59,+107.967,7334111.0,48.0,18.0,1:55.233,158.485,Finished
pic,marussia,25,21,16,16,0,59,+132.925,7359069.0,37.0,22.0,1:56.486,156.781,Finished
rosa,hrt,22,24,17,17,0,58,,,48.0,23.0,1:57.671,155.202,+1 Lap
bruno_senna,williams,19,22,18,18,0,57,,,27.0,9.0,1:53.610,160.749,Retired
petrov,caterham,21,18,19,19,0,57,,,44.0,17.0,1:55.140,158.613,+2 Laps
vergne,toro_rosso,17,16,20,R,0,38,,,28.0,8.0,1:53.510,160.891,Collision
michael_schumacher,mercedes,7,9,21,R,0,38,,,26.0,20.0,1:56.047,157.374,Collision
maldonado,williams,18,2,22,R,0,36,,,27.0,16.0,1:55.120,158.641,Hydraulics
karthikeyan,hrt,23,23,23,R,0,30,,,26.0,24.0,1:58.507,154.107,Accident
hamilton,mclaren,4,1,24,R,0,22,,,14.0,19.0,1:55.541,158.063,Gearbox
vettel,red_bull,1,1,1,1,25,53,1:28:56.242,5336242.0,52.0,1.0,1:35.774,218.276,Finished
massa,ferrari,6,10,2,2,18,53,+20.639,5356881.0,50.0,5.0,1:36.894,215.753,Finished
kobayashi,sauber,14,3,3,3,15,53,+24.538,5360780.0,52.0,3.0,1:36.679,216.233,Finished
button,mclaren,3,8,4,4,12,53,+25.098,5361340.0,51.0,2.0,1:36.606,216.396,Finished
hamilton,mclaren,4,9,5,5,10,53,+46.490,5382732.0,45.0,11.0,1:37.760,213.842,Finished
raikkonen,lotus_f1,9,7,6,6,8,53,+50.424,5386666.0,49.0,13.0,1:37.886,213.566,Finished
hulkenberg,force_india,12,15,7,7,6,53,+51.159,5387401.0,46.0,14.0,1:37.938,213.453,Finished
maldonado,williams,18,12,8,8,4,53,+52.364,5388606.0,45.0,12.0,1:37.771,213.818,Finished
webber,red_bull,2,2,9,9,2,53,+54.675,5390917.0,49.0,7.0,1:37.128,215.233,Finished
ricciardo,toro_rosso,16,14,10,10,1,53,+66.919,5403161.0,50.0,8.0,1:37.455,214.511,Finished
michael_schumacher,mercedes,7,23,11,11,0,53,+67.769,5404011.0,43.0,6.0,1:36.942,215.646,Finished
resta,force_india,11,11,12,12,0,53,+83.460,5419702.0,48.0,10.0,1:37.535,214.335,Finished
vergne,toro_rosso,17,19,13,13,0,53,+88.645,5424887.0,39.0,9.0,1:37.533,214.339,Finished
bruno_senna,williams,19,16,14,14,0,53,+88.709,5424951.0,44.0,4.0,1:36.819,215.920,Finished
kovalainen,caterham,20,17,15,15,0,52,,,52.0,15.0,1:38.043,213.224,+1 Lap
glock,marussia,24,18,16,16,0,52,,,48.0,18.0,1:38.756,211.685,+1 Lap
petrov,caterham,21,22,17,17,0,52,,,47.0,17.0,1:38.344,212.572,+1 Lap
rosa,hrt,22,20,18,18,0,52,,,50.0,20.0,1:39.351,210.417,+1 Lap
grosjean,lotus_f1,10,4,19,19,0,51,,,32.0,16.0,1:38.277,212.717,+2 Laps
pic,marussia,25,21,20,R,0,37,,,34.0,21.0,1:40.493,208.026,Engine
karthikeyan,hrt,23,24,21,R,0,32,,,21.0,22.0,1:41.388,206.190,Vibrations
perez,sauber,15,5,22,R,0,18,,,17.0,19.0,1:38.983,211.199,Spun off
alonso,ferrari,5,6,23,R,0,0,,,,,,,Collision
rosberg,mercedes,8,13,24,R,0,0,,,,,,,Collision
vettel,red_bull,1,2,1,1,25,55,1:36:28.651,5788651.0,55.0,5.0,1:42.499,197.211,Finished
webber,red_bull,2,1,2,2,18,55,+8.231,5796882.0,54.0,1.0,1:42.037,198.104,Finished
alonso,ferrari,5,4,3,3,15,55,+13.944,5802595.0,52.0,3.0,1:42.442,197.321,Finished
massa,ferrari,6,6,4,4,12,55,+20.168,5808819.0,48.0,2.0,1:42.242,197.707,Finished
raikkonen,lotus_f1,9,5,5,5,10,55,+36.739,5825390.0,51.0,11.0,1:42.822,196.592,Finished
hulkenberg,force_india,12,8,6,6,8,55,+45.301,5833952.0,54.0,6.0,1:42.645,196.931,Finished
grosjean,lotus_f1,10,7,7,7,6,55,+54.812,5843463.0,44.0,10.0,1:42.783,196.666,Finished
vergne,toro_rosso,17,16,8,8,4,55,+69.589,5858240.0,48.0,8.0,1:42.721,196.785,Finished
ricciardo,toro_rosso,16,21,9,9,2,55,+71.787,5860438.0,45.0,12.0,1:43.148,195.970,Finished
hamilton,mclaren,4,3,10,10,1,55,+79.692,5868343.0,49.0,9.0,1:42.721,196.785,Finished
perez,sauber,15,12,11,11,0,55,+80.062,5868713.0,49.0,4.0,1:42.495,197.219,Finished
resta,force_india,11,14,12,12,0,55,+84.448,5873099.0,48.0,15.0,1:43.517,195.272,Finished
michael_schumacher,mercedes,7,10,13,13,0,55,+89.241,5877892.0,49.0,13.0,1:43.184,195.902,Finished
maldonado,williams,18,15,14,14,0,55,+94.924,5883575.0,55.0,7.0,1:42.679,196.865,Finished
bruno_senna,williams,19,17,15,15,0,55,+96.902,5885553.0,49.0,14.0,1:43.411,195.472,Finished
petrov,caterham,21,18,16,16,0,54,,,50.0,18.0,1:45.013,192.490,+1 Lap
kovalainen,caterham,20,19,17,17,0,54,,,43.0,17.0,1:44.955,192.596,+1 Lap
glock,marussia,24,20,18,18,0,54,,,42.0,19.0,1:45.236,192.082,+1 Lap
pic,marussia,25,24,19,19,0,53,,,52.0,16.0,1:44.462,193.505,+2 Laps
karthikeyan,hrt,23,23,20,20,0,53,,,39.0,21.0,1:47.068,188.795,+2 Laps
rosa,hrt,22,22,21,R,0,16,,,9.0,22.0,1:49.861,183.996,Throttle
kobayashi,sauber,14,13,22,R,0,16,,,3.0,20.0,1:47.066,188.799,Collision damage
rosberg,mercedes,8,9,23,R,0,1,,,,,,,Collision
button,mclaren,3,11,24,R,0,0,,,,,,,Collision
vettel,red_bull,1,1,1,1,25,60,1:31:10.744,5470744.0,60.0,4.0,1:28.723,207.950,Finished
alonso,ferrari,5,5,2,2,18,60,+9.437,5480181.0,60.0,3.0,1:28.630,208.168,Finished
webber,red_bull,2,2,3,3,15,60,+13.217,5483961.0,59.0,6.0,1:29.029,207.235,Finished
hamilton,mclaren,4,3,4,4,12,60,+13.909,5484653.0,58.0,5.0,1:28.944,207.433,Finished
button,mclaren,3,4,5,5,10,60,+26.266,5497010.0,60.0,1.0,1:28.203,209.176,Finished
massa,ferrari,6,6,6,6,8,60,+44.674,5515418.0,59.0,11.0,1:29.283,206.646,Finished
raikkonen,lotus_f1,9,7,7,7,6,60,+45.227,5515971.0,54.0,12.0,1:29.354,206.482,Finished
hulkenberg,force_india,12,12,8,8,4,60,+54.998,5525742.0,60.0,10.0,1:29.230,206.769,Finished
grosjean,lotus_f1,10,11,9,9,2,60,+56.103,5526847.0,57.0,15.0,1:29.522,206.094,Finished
bruno_senna,williams,19,13,10,10,1,60,+1:14.975,5545719.0,60.0,2.0,1:28.431,208.637,Finished
rosberg,mercedes,8,10,11,11,0,60,+1:21.694,5552438.0,59.0,14.0,1:29.492,206.163,Finished
resta,force_india,11,16,12,12,0,60,+1:22.815,5553559.0,59.0,7.0,1:29.086,207.103,Finished
ricciardo,toro_rosso,16,15,13,13,0,60,+1:26.064,5556808.0,57.0,13.0,1:29.440,206.283,Finished
kobayashi,sauber,14,17,14,14,0,60,+1:26.495,5557239.0,51.0,8.0,1:29.204,206.829,Finished
vergne,toro_rosso,17,18,15,15,0,59,,,59.0,17.0,1:30.091,204.792,+1 Lap
maldonado,williams,18,9,16,16,0,59,,,50.0,16.0,1:30.067,204.847,+1 Lap
petrov,caterham,21,19,17,17,0,59,,,58.0,19.0,1:31.163,202.384,+1 Lap
kovalainen,caterham,20,20,18,18,0,59,,,57.0,18.0,1:30.786,203.225,+1 Lap
pic,marussia,25,24,19,19,0,59,,,55.0,20.0,1:31.366,201.935,+1 Lap
glock,marussia,24,21,20,20,0,58,,,56.0,21.0,1:31.721,201.153,+2 Laps
karthikeyan,hrt,23,23,21,21,0,58,,,53.0,22.0,1:32.161,200.193,+2 Laps
michael_schumacher,mercedes,7,14,22,22,0,55,,,53.0,9.0,1:29.230,206.769,Retired
rosa,hrt,22,22,23,R,0,43,,,39.0,24.0,1:32.864,198.677,Accident
perez,sauber,15,8,24,R,0,21,,,17.0,23.0,1:32.208,200.091,Accident
raikkonen,lotus_f1,9,4,1,1,25,55,1:45:58.667,6358667.0,50.0,3.0,1:44.458,191.410,Finished
alonso,ferrari,5,6,2,2,18,55,+0.852,6359519.0,53.0,2.0,1:44.090,192.087,Finished
vettel,red_bull,1,24,3,3,15,55,+4.163,6362830.0,54.0,1.0,1:43.964,192.320,Finished
button,mclaren,3,5,4,4,12,55,+7.787,6366454.0,50.0,4.0,1:44.533,191.273,Finished
maldonado,williams,18,3,5,5,10,55,+13.007,6371674.0,55.0,5.0,1:44.833,190.726,Finished
kobayashi,sauber,14,15,6,6,8,55,+20.076,6378743.0,55.0,8.0,1:45.423,189.658,Finished
massa,ferrari,6,8,7,7,6,55,+22.896,6381563.0,53.0,11.0,1:45.700,189.161,Finished
bruno_senna,williams,19,14,8,8,4,55,+23.542,6382209.0,49.0,10.0,1:45.693,189.174,Finished
resta,force_india,11,12,9,9,2,55,+24.160,6382827.0,53.0,9.0,1:45.617,189.310,Finished
ricciardo,toro_rosso,16,16,10,10,1,55,+27.463,6386130.0,53.0,12.0,1:45.903,188.799,Finished
michael_schumacher,mercedes,7,13,11,11,0,55,+28.075,6386742.0,51.0,6.0,1:45.225,190.015,Finished
vergne,toro_rosso,17,17,12,12,0,55,+34.906,6393573.0,53.0,13.0,1:46.113,188.425,Finished
kovalainen,caterham,20,18,13,13,0,55,+47.764,6406431.0,51.0,15.0,1:47.115,186.662,Finished
glock,marussia,24,21,14,14,0,55,+56.473,6415140.0,54.0,18.0,1:47.661,185.716,Finished
perez,sauber,15,11,15,15,0,55,+56.768,6415435.0,54.0,7.0,1:45.410,189.682,Finished
petrov,caterham,21,20,16,16,0,55,+64.595,6423262.0,50.0,19.0,1:48.308,184.606,Finished
rosa,hrt,22,22,17,17,0,55,+71.778,6430445.0,47.0,20.0,1:48.619,184.078,Finished
pic,marussia,25,19,18,R,0,41,,,33.0,21.0,1:49.079,183.302,Retired
grosjean,lotus_f1,10,9,19,R,0,37,,,36.0,17.0,1:47.521,185.958,Collision
webber,red_bull,2,2,20,R,0,37,,,32.0,14.0,1:46.959,186.935,Collision
hamilton,mclaren,4,1,21,R,0,19,,,19.0,16.0,1:47.266,186.400,Electrical
karthikeyan,hrt,23,23,22,R,0,7,,,6.0,23.0,1:52.238,178.142,Collision
rosberg,mercedes,8,7,23,R,0,7,,,4.0,22.0,1:49.340,182.864,Collision
hulkenberg,force_india,12,10,24,R,0,0,,,,,,,Collision
hamilton,mclaren,4,2,1,1,25,56,1:35:55.269,5755269.0,55.0,5.0,1:39.709,199.047,Finished
vettel,red_bull,1,1,2,2,18,56,+0.675,5755944.0,56.0,1.0,1:39.347,199.772,Finished
alonso,ferrari,5,7,3,3,15,56,+39.229,5794498.0,56.0,4.0,1:39.672,199.121,Finished
massa,ferrari,6,11,4,4,12,56,+46.013,5801282.0,56.0,2.0,1:39.402,199.661,Finished
button,mclaren,3,12,5,5,10,56,+56.432,5811701.0,54.0,6.0,1:40.150,198.170,Finished
raikkonen,lotus_f1,9,4,6,6,8,56,+64.425,5819694.0,56.0,3.0,1:39.474,199.517,Finished
grosjean,lotus_f1,10,8,7,7,6,56,+70.313,5825582.0,55.0,10.0,1:40.625,197.235,Finished
hulkenberg,force_india,12,6,8,8,4,56,+73.792,5829061.0,53.0,16.0,1:41.048,196.409,Finished
maldonado,williams,18,9,9,9,2,56,+74.525,5829794.0,53.0,12.0,1:40.719,197.051,Finished
bruno_senna,williams,19,10,10,10,1,56,+75.133,5830402.0,53.0,13.0,1:40.745,197.000,Finished
perez,sauber,15,15,11,11,0,56,+84.341,5839610.0,53.0,11.0,1:40.701,197.086,Finished
ricciardo,toro_rosso,16,18,12,12,0,56,+84.871,5840140.0,53.0,14.0,1:40.772,196.947,Finished
rosberg,mercedes,8,17,13,13,0,56,+85.510,5840779.0,51.0,8.0,1:40.428,197.622,Finished
kobayashi,sauber,14,16,14,14,0,55,,,55.0,7.0,1:40.315,197.844,+1 Lap
resta,force_india,11,13,15,15,0,55,,,55.0,9.0,1:40.594,197.296,+1 Lap
michael_schumacher,mercedes,7,5,16,16,0,55,,,54.0,15.0,1:40.923,196.652,+1 Lap
petrov,caterham,21,21,17,17,0,55,,,55.0,18.0,1:42.824,193.017,+1 Lap
kovalainen,caterham,20,22,18,18,0,55,,,50.0,19.0,1:43.072,192.552,+1 Lap
glock,marussia,24,19,19,19,0,55,,,40.0,20.0,1:43.324,192.083,+1 Lap
pic,marussia,25,20,20,20,0,54,,,54.0,17.0,1:42.481,193.663,+2 Laps
rosa,hrt,22,23,21,21,0,54,,,43.0,23.0,1:44.664,189.623,+2 Laps
karthikeyan,hrt,23,24,22,22,0,54,,,51.0,22.0,1:44.508,189.906,+2 Laps
webber,red_bull,2,3,23,R,0,16,,,13.0,21.0,1:43.599,191.573,Alternator
vergne,toro_rosso,17,14,24,R,0,14,,,12.0,24.0,1:44.775,189.423,Suspension
button,mclaren,3,2,1,1,25,71,1:45:22.656,6322656.0,37.0,2.0,1:18.108,198.601,Finished
alonso,ferrari,5,7,2,2,18,71,+2.754,6325410.0,36.0,4.0,1:18.623,197.301,Finished
massa,ferrari,6,5,3,3,15,71,+3.615,6326271.0,37.0,5.0,1:18.879,196.660,Finished
webber,red_bull,2,3,4,4,12,71,+4.936,6327592.0,39.0,6.0,1:18.903,196.600,Finished
hulkenberg,force_india,12,6,5,5,10,71,+5.708,6328364.0,38.0,3.0,1:18.210,198.342,Finished
vettel,red_bull,1,4,6,6,8,71,+9.453,6332109.0,36.0,9.0,1:19.090,196.136,Finished
michael_schumacher,mercedes,7,13,7,7,6,71,+11.907,6334563.0,37.0,15.0,1:20.158,193.522,Finished
vergne,toro_rosso,17,17,8,8,4,71,+28.653,6351309.0,39.0,8.0,1:18.983,196.401,Finished
kobayashi,sauber,14,14,9,9,2,71,+31.250,6353906.0,35.0,7.0,1:18.973,196.426,Finished
raikkonen,lotus_f1,9,8,10,10,1,70,,,34.0,13.0,1:19.444,195.262,+1 Lap
petrov,caterham,21,19,11,11,0,70,,,39.0,18.0,1:20.528,192.633,+1 Lap
pic,marussia,25,22,12,12,0,70,,,36.0,17.0,1:20.310,193.156,+1 Lap
ricciardo,toro_rosso,16,15,13,13,0,70,,,36.0,11.0,1:19.308,195.596,+1 Lap
kovalainen,caterham,20,20,14,14,0,70,,,39.0,10.0,1:19.256,195.725,+1 Lap
rosberg,mercedes,8,9,15,15,0,70,,,38.0,16.0,1:20.266,193.262,+1 Lap
glock,marussia,24,21,16,16,0,70,,,34.0,14.0,1:19.686,194.669,+1 Lap
rosa,hrt,22,24,17,17,0,69,,,37.0,19.0,1:21.085,191.310,+2 Laps
karthikeyan,hrt,23,23,18,18,0,69,,,40.0,20.0,1:21.544,190.233,+2 Laps
resta,force_india,11,10,19,19,0,68,,,39.0,12.0,1:19.314,195.582,Accident
hamilton,mclaren,4,1,20,R,0,54,,,38.0,1.0,1:18.069,198.701,Collision
grosjean,lotus_f1,10,18,21,R,0,5,,,2.0,21.0,1:22.184,188.752,Accident
maldonado,williams,18,16,22,R,0,1,,,,,,,Collision
bruno_senna,williams,19,11,23,R,0,0,,,,,,,Collision
perez,sauber,15,12,24,R,0,0,,,,,,,Collision
raikkonen,lotus_f1,7,7,1,1,25,58,1:30:03.225,5403225.0,56.0,1.0,1:29.274,213.845,Finished
alonso,ferrari,3,5,2,2,18,58,+12.451,5415676.0,53.0,3.0,1:29.560,213.162,Finished
vettel,red_bull,1,1,3,3,15,58,+22.346,5425571.0,42.0,10.0,1:30.409,211.160,Finished
massa,ferrari,4,4,4,4,12,58,+33.577,5436802.0,38.0,8.0,1:30.239,211.558,Finished
hamilton,mercedes,10,3,5,5,10,58,+45.561,5448786.0,45.0,5.0,1:29.759,212.689,Finished
webber,red_bull,2,2,6,6,8,58,+46.800,5450025.0,45.0,4.0,1:29.732,212.753,Finished
sutil,force_india,15,12,7,7,6,58,+1:05.068,5468293.0,49.0,13.0,1:30.710,210.459,Finished
resta,force_india,14,9,8,8,4,58,+1:08.449,5471674.0,56.0,15.0,1:30.894,210.033,Finished
button,mclaren,5,10,9,9,2,58,+1:21.630,5484855.0,41.0,7.0,1:30.198,211.654,Finished
grosjean,lotus_f1,8,8,10,10,1,58,+1:22.759,5485984.0,41.0,9.0,1:30.395,211.193,Finished
perez,mclaren,6,15,11,11,0,58,+1:23.367,5486592.0,46.0,6.0,1:29.926,212.294,Finished
vergne,toro_rosso,18,13,12,12,0,58,+1:23.857,5487082.0,50.0,2.0,1:29.498,213.309,Finished
gutierrez,sauber,12,18,13,13,0,57,,,32.0,16.0,1:31.415,208.836,+1 Lap
bottas,williams,17,16,14,14,0,57,,,42.0,12.0,1:30.652,210.594,+1 Lap
jules_bianchi,marussia,22,19,15,15,0,57,,,52.0,11.0,1:30.454,211.055,+1 Lap
pic,caterham,20,22,16,16,0,56,,,55.0,19.0,1:32.261,206.921,+2 Laps
chilton,marussia,23,20,17,17,0,56,,,49.0,17.0,1:32.210,207.036,+2 Laps
garde,caterham,21,21,18,18,0,56,,,39.0,20.0,1:32.636,206.084,+2 Laps
ricciardo,toro_rosso,19,14,19,R,0,39,,,33.0,14.0,1:30.881,210.063,Hydraulics
rosberg,mercedes,9,6,20,R,0,26,,,18.0,18.0,1:32.259,206.926,Electrical
