driverId,points,position,positionText,wins
yamamoto,0.0,25,25,0
heidfeld,0.0,26,26,0
klien,0.0,27,27,0
webber,220.0,1,1,4
alonso,206.0,2,2,4
vettel,206.0,3,3,3
hamilton,192.0,4,4,3
button,189.0,5,5,2
massa,128.0,6,6,0
rosberg,122.0,7,7,0
kubica,114.0,8,8,0
michael_schumacher,54.0,9,9,0
sutil,47.0,10,10,0
barrichello,41.0,11,11,0
kobayashi,27.0,12,12,0
petrov,19.0,13,13,0
hulkenberg,17.0,14,14,0
liuzzi,13.0,15,15,0
buemi,8.0,16,16,0
rosa,6.0,17,17,0
heidfeld,4.0,18,18,0
